Row,Block,Tree,nursery_id,year_planted,guard_tree,check_tree,dead_tree,PLANTID,PLANTID_ALT1,ACCID,ACP,ACNO,ACS,kentville_block,origin,apple_id,type
18,North,52,5285,2013,0,0,1,"Court Royal",,18860,PI,589671,.04,NULL,USDA,482,cider
1,South,39,5287,2013,0,0,0,"Court Royal",,18860,PI,589671,.04,NULL,USDA,482,cider
8,North,24,2234,2013,0,0,0,"Cox's Orange Pippin",,3860,PI,588853,.16,NULL,USDA,146,dessert
5,South,3,2235,2013,0,0,0,"Cox's Orange Pippin",,3860,PI,588853,.16,NULL,USDA,146,dessert
1,North,59,2272,2013,0,0,0,"Crimson Beauty",,7205,PI,589024,.18,NULL,USDA,158,dessert
7,South,33,2273,2013,0,0,1,"Crimson Beauty",,7205,PI,589024,.18,NULL,USDA,158,dessert
18,North,26,5045,2013,0,0,1,Crollon,,140208,PI,162721,.07,NULL,USDA,402,cider
12,South,19,5046,2013,0,0,0,Crollon,,140208,PI,162721,.07,NULL,USDA,402,cider
19,North,10,6119,2013,0,0,0,Crookston,,19460,PI,589712,.05,NULL,USDA,533,cider
10,South,32,6120,2013,0,0,0,Crookston,,19460,PI,589712,.05,NULL,USDA,533,cider
3,North,42,5027,2013,0,0,0,"Crow Egg",,11389,PI,589196,.08,NULL,USDA,396,cider
8,South,25,5028,2013,0,0,0,"Crow Egg",,11389,PI,589196,.08,NULL,USDA,396,cider
19,South,2,5029,2014,0,0,0,"Crow Egg",,11389,PI,589196,.08,NULL,USDA,396,cider
4,North,53,1023,2013,0,0,0,Dayton,,24941,PI,590183,,113,Kentville,8,dessert
13,South,4,1024,2013,0,0,0,Dayton,,24941,PI,590183,,113,Kentville,8,dessert
13,North,15,5252,2013,0,0,0,"Deacon Jones",,6645,PI,588985,.09,NULL,USDA,471,dessert
8,South,9,5254,2013,0,0,0,"Deacon Jones",,6645,PI,588985,.09,NULL,USDA,471,dessert
6,North,50,6149,2013,0,0,0,"Del Cirio",,128376,PI,105505,.07,NULL,USDA,542,cider
8,South,46,6150,2013,0,0,1,"Del Cirio",,128376,PI,105505,.07,NULL,USDA,542,cider
18,North,5,2293,2013,0,0,0,Delicious,,21272,PI,589841,.17,NULL,USDA,164,dessert
17,South,36,2295,2013,0,0,0,Delicious,,21272,PI,589841,.17,NULL,USDA,164,dessert
